"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.326607290E-1,-6.340979785E-2,2.889333367E-1,9.939187050E0,9.943588009E0
7.351551560E-1,-8.255238086E-2,3.032902777E-1,9.872187614E0,9.877190298E0
7.376497920E-1,-2.512463741E-2,2.506481707E-1,9.910472870E0,9.913673802E0
7.401513020E-1,-5.383851007E-2,2.602194548E-1,9.929615974E0,9.933171002E0
7.426459380E-1,-7.298108935E-2,2.937189937E-1,9.929615974E0,9.934227221E0
7.451405730E-1,-7.298108935E-2,2.985046208E-1,9.915258408E0,9.920019180E0
7.476351560E-1,-6.340979785E-2,2.697907388E-1,9.924830437E0,9.928699162E0
7.501297920E-1,-6.340979785E-2,3.080759048E-1,9.939187050E0,9.944162648E0
7.526244270E-1,-7.298108935E-2,2.841476798E-1,9.924830437E0,9.929165390E0
7.551190630E-1,-9.690931439E-2,2.506481707E-1,9.943972588E0,9.947603065E0
7.576135420E-1,-4.426721856E-2,3.032902777E-1,9.939187050E0,9.943911896E0
7.601029170E-1,-2.991028316E-2,2.602194548E-1,9.915258408E0,9.918717562E0
7.625973960E-1,-7.776673883E-2,2.697907388E-1,9.934401512E0,9.938368483E0
7.650918750E-1,-3.469592705E-2,2.841476798E-1,9.963115692E0,9.967227197E0
7.675863540E-1,-5.862415582E-2,2.315055877E-1,9.943972588E0,9.946839822E0
7.700808340E-1,-2.991028316E-2,2.602194548E-1,9.915258408E0,9.918717562E0
7.725753650E-1,5.144568533E-2,1.932204217E-1,1.011147022E1,1.011344703E1
7.750698440E-1,-7.776673883E-2,2.985046208E-1,1.051406288E1,1.051858693E1
7.775643230E-1,-5.383851007E-2,1.836491376E-1,9.776474953E0,9.778347922E0
7.800577610E-1,2.751746029E-2,2.841476798E-1,9.417551994E0,9.421877874E0
7.825522400E-1,6.580262631E-2,2.889333367E-1,1.012582684E1,1.013016197E1
7.850466670E-1,-1.543370634E-1,1.310070455E-1,9.953543663E0,9.955602153E0
7.875410940E-1,2.751746029E-2,3.080759048E-1,9.704689980E0,9.709617684E0
7.900355730E-1,1.088734269E-1,3.415754437E-1,1.004447079E1,1.005086666E1
7.925300520E-1,-1.112662554E-1,1.836491376E-1,9.996614456E0,9.998920330E0
7.950244790E-1,-2.512463741E-2,2.506481707E-1,9.795618057E0,9.798856509E0
7.975191150E-1,6.101697683E-2,3.511467278E-1,9.929615974E0,9.936010291E0
8.000173440E-1,-5.862415582E-2,2.123630047E-1,9.843474388E0,9.845939410E0
8.025155210E-1,-5.982056726E-3,2.937189937E-1,9.786046028E0,9.790454713E0
8.050101560E-1,5.144568533E-2,2.937189937E-1,9.977472305E0,9.981927224E0
